[2026-06-18T20:38:20.005+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2026-06-18T20:38:20.030+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: update_db.staging_table manual__2026-06-18T20:38:18.525468+00:00 [queued]>
[2026-06-18T20:38:20.048+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: update_db.staging_table manual__2026-06-18T20:38:18.525468+00:00 [queued]>
[2026-06-18T20:38:20.049+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 1
[2026-06-18T20:38:20.585+0000] {data_modification.py:80} INFO - Update row with Video_ID: HCjCk2ILbX0
[2026-06-18T20:38:20.587+0000] {data_modification.py:80} INFO - Update row with Video_ID: V2dIvo7xHcM
[2026-06-18T20:38:20.589+0000] {data_modification.py:80} INFO - Update row with Video_ID: HOFA3hKGAFI
[2026-06-18T20:38:20.591+0000] {data_modification.py:80} INFO - Update row with Video_ID: LylonR628Nc
[2026-06-18T20:38:20.592+0000] {data_modification.py:80} INFO - Update row with Video_ID: tiBLj7V-2zM
[2026-06-18T20:38:20.595+0000] {data_modification.py:80} INFO - Update row with Video_ID: LoF5RvVhFsI
[2026-06-18T20:38:20.597+0000] {data_modification.py:80} INFO - Update row with Video_ID: sF869j97K_A
[2026-06-18T20:38:20.599+0000] {data_modification.py:80} INFO - Update row with Video_ID: 6C5zopMkIZ0
[2026-06-18T20:38:20.601+0000] {data_modification.py:80} INFO - Update row with Video_ID: EZOdxSsRnXo
[2026-06-18T20:38:20.603+0000] {data_modification.py:80} INFO - Update row with Video_ID: Cz6ZNmZ1BPM
[2026-06-18T20:38:20.605+0000] {data_modification.py:80} INFO - Update row with Video_ID: UePfWzAUYng
[2026-06-18T20:38:20.607+0000] {data_modification.py:80} INFO - Update row with Video_ID: xFtgtj9Fu6A
[2026-06-18T20:38:20.609+0000] {data_modification.py:80} INFO - Update row with Video_ID: KRKiSIRQpoI
[2026-06-18T20:38:20.611+0000] {data_modification.py:80} INFO - Update row with Video_ID: MHdvZMC-dyQ
[2026-06-18T20:38:20.613+0000] {data_modification.py:80} INFO - Update row with Video_ID: SsuHibtghHI
[2026-06-18T20:38:20.615+0000] {data_modification.py:80} INFO - Update row with Video_ID: zByLpRywcJc
[2026-06-18T20:38:20.617+0000] {data_modification.py:80} INFO - Update row with Video_ID: vMVkMquNXX4
[2026-06-18T20:38:20.620+0000] {data_modification.py:80} INFO - Update row with Video_ID: prUdeD-FrxM
